blocked,condition,driving_score,duration_game_s,map,model,perturbation,route_id,run_ts,score_penalty,score_route,severity,sim,source,status,test_type
1,Town01_01,36.64932769852387,387.15000576898456,multi-town,tcp,baseline,RouteScenario_0,20251201_120732,1.0,36.64932769852387,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
1,Town01_01,35.31239943195016,415.65000619366765,multi-town,tcp,baseline,RouteScenario_1,20251201_120732,1.0,35.31239943195016,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
1,Town01_01,17.115034654125857,272.8000040650368,multi-town,tcp,baseline,RouteScenario_2,20251201_120732,0.42250000000000004,40.50895776124463,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
0,Town01_01,100.0,493.5500073544681,multi-town,tcp,baseline,RouteScenario_3,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Completed,generalization
1,Town01_01,17.420587208758175,393.0500058569014,multi-town,tcp,baseline,RouteScenario_4,20251201_120732,0.7,24.886553155368823,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
1,Town01_01,59.67458636080168,471.2500070221722,multi-town,tcp,baseline,RouteScenario_5,20251201_120732,1.0,59.67458636080168,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
0,Town01_01,100.0,307.2500045783818,multi-town,tcp,baseline,RouteScenario_6,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Completed,generalization
0,Town01_01,100.0,389.5000058040023,multi-town,tcp,baseline,RouteScenario_7,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Completed,generalization
0,Town01_01,100.0,271.30000404268503,multi-town,tcp,baseline,RouteScenario_8,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Completed,generalization
0,Town01_01,100.0,375.0500055886805,multi-town,tcp,baseline,RouteScenario_9,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_01/routes_town01_long/simulation_results.json,Completed,generalization
1,Town01_02,36.64932769852387,387.7000057771802,multi-town,tcp,baseline,RouteScenario_0,20251201_120732,1.0,36.64932769852387,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_02/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
1,Town01_02,35.31239943195016,411.2000061273575,multi-town,tcp,baseline,RouteScenario_1,20251201_120732,1.0,35.31239943195016,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_02/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
1,Town01_02,17.115034654125857,272.0500040538609,multi-town,tcp,baseline,RouteScenario_2,20251201_120732,0.42250000000000004,40.50895776124463,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_02/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
0,Town01_02,100.0,476.10000709444284,multi-town,tcp,baseline,RouteScenario_3,20251201_120732,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_02/routes_town01_long/simulation_results.json,Completed,generalization
1,Town01_02,17.420587208758175,438.20000652968884,multi-town,tcp,baseline,RouteScenario_4,20251201_120732,0.7,24.886553155368823,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/generalization/tcp/20251201_120732/Town01_02/routes_town01_long/simulation_results.json,Failed - Agent got blocked,generalization
