blocked,condition,driving_score,duration_game_s,map,model,perturbation,route_id,run_ts,score_penalty,score_route,severity,sim,source,status,test_type
0,baseline,89.55836428328742,343.05000511184335,multi-town,tcp,baseline,RouteScenario_1,20251212_185734,1.0,89.55836428328742,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Failed - Agent timed out,robustness
0,baseline,27.147196397086788,157.05000234022737,multi-town,tcp,baseline,RouteScenario_2,20251212_185734,1.0,27.147196397086788,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Failed - Agent timed out,robustness
0,baseline,75.24270809212665,183.05000272765756,multi-town,tcp,baseline,RouteScenario_3,20251212_185734,1.0,75.24270809212665,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Failed - Agent timed out,robustness
0,baseline,81.70425890534774,187.0500027872622,multi-town,tcp,baseline,RouteScenario_4,20251212_185734,0.8921262535699637,91.58374005741577,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Failed - Agent timed out,robustness
0,baseline,94.26996002657317,97.0500014461577,multi-town,tcp,baseline,RouteScenario_5,20251212_185734,1.0,94.26996002657317,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Failed - Agent timed out,robustness
0,baseline,100.0,199.30000296980143,multi-town,tcp,baseline,RouteScenario_6,20251212_185734,1.0,100.0,0,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/baseline/simulation_results.json,Completed,robustness
1,canny_edges_mapping_s2,30.0948456589231,272.00000405311584,multi-town,tcp,canny_edges_mapping,RouteScenario_1,20251212_185734,1.0,30.0948456589231,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent got blocked,robustness
0,canny_edges_mapping_s2,17.80265113833252,157.05000234022737,multi-town,tcp,canny_edges_mapping,RouteScenario_2,20251212_185734,1.0,17.80265113833252,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent timed out,robustness
1,canny_edges_mapping_s2,0.0,180.05000268295407,multi-town,tcp,canny_edges_mapping,RouteScenario_3,20251212_185734,1.0,0.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent got blocked,robustness
0,canny_edges_mapping_s2,10.578075331751988,187.0500027872622,multi-town,tcp,canny_edges_mapping,RouteScenario_4,20251212_185734,1.0,10.578075331751988,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent timed out,robustness
0,canny_edges_mapping_s2,0.0,97.0500014461577,multi-town,tcp,canny_edges_mapping,RouteScenario_5,20251212_185734,1.0,0.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent timed out,robustness
1,canny_edges_mapping_s2,38.97003072068937,463.95000691339374,multi-town,tcp,canny_edges_mapping,RouteScenario_6,20251212_185734,0.6,64.95005120114895,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s2/simulation_results.json,Failed - Agent got blocked,robustness
0,canny_edges_mapping_s4,83.56899455480304,343.05000511184335,multi-town,tcp,canny_edges_mapping,RouteScenario_1,20251212_185734,1.0,83.56899455480304,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent timed out,robustness
0,canny_edges_mapping_s4,17.80265113833252,157.05000234022737,multi-town,tcp,canny_edges_mapping,RouteScenario_2,20251212_185734,1.0,17.80265113833252,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent timed out,robustness
1,canny_edges_mapping_s4,0.0,182.25000271573663,multi-town,tcp,canny_edges_mapping,RouteScenario_3,20251212_185734,1.0,0.0,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent got blocked,robustness
0,canny_edges_mapping_s4,10.578075331751988,187.0500027872622,multi-town,tcp,canny_edges_mapping,RouteScenario_4,20251212_185734,1.0,10.578075331751988,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent timed out,robustness
0,canny_edges_mapping_s4,9.422524723836785,97.0500014461577,multi-town,tcp,canny_edges_mapping,RouteScenario_5,20251212_185734,1.0,9.422524723836785,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent timed out,robustness
1,canny_edges_mapping_s4,37.35964768373412,320.2500047720969,multi-town,tcp,canny_edges_mapping,RouteScenario_6,20251212_185734,1.0,37.35964768373412,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/canny_edges_mapping_s4/simulation_results.json,Failed - Agent got blocked,robustness
0,contrast_s2,100.0,264.00000393390656,multi-town,tcp,contrast,RouteScenario_1,20251212_185734,1.0,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Completed,robustness
0,contrast_s2,73.62899001087334,157.05000234022737,multi-town,tcp,contrast,RouteScenario_2,20251212_185734,1.0,73.62899001087334,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s2,74.8713398600851,183.05000272765756,multi-town,tcp,contrast,RouteScenario_3,20251212_185734,1.0,74.8713398600851,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s2,52.543941641732545,187.0500027872622,multi-town,tcp,contrast,RouteScenario_4,20251212_185734,0.573725659257764,91.58374005741577,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s2,94.26996002657317,97.0500014461577,multi-town,tcp,contrast,RouteScenario_5,20251212_185734,1.0,94.26996002657317,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s2,100.0,199.40000297129154,multi-town,tcp,contrast,RouteScenario_6,20251212_185734,1.0,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s2/simulation_results.json,Completed,robustness
0,contrast_s4,40.11518501996577,343.05000511184335,multi-town,tcp,contrast,RouteScenario_1,20251212_185734,0.45499999999999996,88.16524180212258,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s4,17.80265113833252,157.05000234022737,multi-town,tcp,contrast,RouteScenario_2,20251212_185734,1.0,17.80265113833252,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s4,68.57110688936748,183.05000272765756,multi-town,tcp,contrast,RouteScenario_3,20251212_185734,1.0,68.57110688936748,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s4,82.14637741940366,187.0500027872622,multi-town,tcp,contrast,RouteScenario_4,20251212_185734,0.8969537318295188,91.58374005741577,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s4,95.1331213106055,97.0500014461577,multi-town,tcp,contrast,RouteScenario_5,20251212_185734,1.0,95.1331213106055,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Failed - Agent timed out,robustness
0,contrast_s4,50.0,198.1500029526651,multi-town,tcp,contrast,RouteScenario_6,20251212_185734,0.5,100.0,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/contrast_s4/simulation_results.json,Completed,robustness
0,cutout_filter_s2,100.0,261.3000038936734,multi-town,tcp,cutout_filter,RouteScenario_1,20251212_185734,1.0,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Completed,robustness
0,cutout_filter_s2,73.10489718942489,157.05000234022737,multi-town,tcp,cutout_filter,RouteScenario_2,20251212_185734,1.0,73.10489718942489,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s2,67.21199111775343,183.05000272765756,multi-town,tcp,cutout_filter,RouteScenario_3,20251212_185734,1.0,67.21199111775343,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s2,36.82632115319655,187.0500027872622,multi-town,tcp,cutout_filter,RouteScenario_4,20251212_185734,0.5368310210987889,68.59946557823768,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s2,94.26996002657317,97.0500014461577,multi-town,tcp,cutout_filter,RouteScenario_5,20251212_185734,1.0,94.26996002657317,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Failed - Agent timed out,robustness
1,cutout_filter_s2,3.2139784428209537,192.35000286623836,multi-town,tcp,cutout_filter,RouteScenario_6,20251212_185734,0.5375416826325501,5.979031108956714,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s2/simulation_results.json,Failed - Agent got blocked,robustness
0,cutout_filter_s4,87.87275332246742,343.05000511184335,multi-town,tcp,cutout_filter,RouteScenario_1,20251212_185734,1.0,87.87275332246742,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s4,19.374928790480347,157.05000234022737,multi-town,tcp,cutout_filter,RouteScenario_2,20251212_185734,1.0,19.374928790480347,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s4,44.54012093158575,183.05000272765756,multi-town,tcp,cutout_filter,RouteScenario_3,20251212_185734,1.0,44.54012093158575,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s4,58.570419253906806,187.0500027872622,multi-town,tcp,cutout_filter,RouteScenario_4,20251212_185734,0.8837036579983064,66.27834876974002,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent timed out,robustness
0,cutout_filter_s4,87.36466054503776,97.0500014461577,multi-town,tcp,cutout_filter,RouteScenario_5,20251212_185734,1.0,87.36466054503776,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent timed out,robustness
1,cutout_filter_s4,1.1035182469996347,196.25000292435288,multi-town,tcp,cutout_filter,RouteScenario_6,20251212_185734,0.18011311250544088,6.1268068251627135,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/cutout_filter_s4/simulation_results.json,Failed - Agent got blocked,robustness
0,defocus_blur_s2,0.8001503999999998,122.90000183135271,multi-town,tcp,defocus_blur,RouteScenario_1,20251212_185734,0.008001503999999998,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Completed,robustness
0,defocus_blur_s2,1.6796159999999998,83.85000124946237,multi-town,tcp,defocus_blur,RouteScenario_2,20251212_185734,0.016796159999999997,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Completed,robustness
0,defocus_blur_s2,1.159868535990144,183.05000272765756,multi-town,tcp,defocus_blur,RouteScenario_3,20251212_185734,0.011757311999999997,98.65082563005424,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Failed - Agent timed out,robustness
0,defocus_blur_s2,8.132046757730501,77.20000115036964,multi-town,tcp,defocus_blur,RouteScenario_4,20251212_185734,0.08132046757730502,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Completed,robustness
0,defocus_blur_s2,20.921641278014416,97.0500014461577,multi-town,tcp,defocus_blur,RouteScenario_5,20251212_185734,0.216,96.85945036117785,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Failed - Agent timed out,robustness
0,defocus_blur_s2,1.6329599999999995,153.60000228881836,multi-town,tcp,defocus_blur,RouteScenario_6,20251212_185734,0.016329599999999996,100.0,2,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s2/simulation_results.json,Completed,robustness
0,defocus_blur_s4,1.3335839999999999,123.00000183284283,multi-town,tcp,defocus_blur,RouteScenario_1,20251212_185734,0.013335839999999998,100.0,4,carla,/media/maxim/Elements/maximigenbergs/runs/carla/robustness/tcp/20251212_185734/defocus_blur_s4/simulation_results.json,Completed,robustness
