baseline_primary,map,model,n_points,perturbation,robust_auc,robust_ce,sim,test_type
0.5,genroads,vit,1,baseline,nan,0.0,udacity,generalization
0.5,genroads,vit,1,btap01,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,btap02,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,btap03,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,btap04,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,btap05,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,sbias01,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sbias02,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sbias03,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sbias04,nan,0.5,udacity,generalization
0.5,genroads,vit,1,sbias05,nan,0.5,udacity,generalization
0.5,genroads,vit,1,sbias06,nan,0.25,udacity,generalization
0.5,genroads,vit,1,sfreeze01,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,sfreeze02,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,sfreeze03,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sfreeze04,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,sfreeze05,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sfreeze06,nan,0.25,udacity,generalization
0.5,genroads,vit,1,sgain01,nan,0.25,udacity,generalization
0.5,genroads,vit,1,sgain02,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sgain03,nan,0.0,udacity,generalization
0.5,genroads,vit,1,sgain04,nan,0.25,udacity,generalization
0.5,genroads,vit,1,sgain05,nan,-0.5,udacity,generalization
0.5,genroads,vit,1,sgain06,nan,-0.5,udacity,generalization
0.5,genroads,vit,1,spulse01,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse02,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse03,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse04,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse05,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse06,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse07,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse08,nan,0.25,udacity,generalization
0.5,genroads,vit,1,spulse09,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse10,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse11,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse12,nan,-0.5,udacity,generalization
0.5,genroads,vit,1,spulse13,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse14,nan,-0.25,udacity,generalization
0.5,genroads,vit,1,spulse15,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse16,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse17,nan,0.0,udacity,generalization
0.5,genroads,vit,1,spulse18,nan,0.5,udacity,generalization
0.5,genroads,vit,1,tboost01,nan,0.25,udacity,generalization
0.5,genroads,vit,1,tboost02,nan,0.0,udacity,generalization
