E_dt,E_e,PR,map,model,p95_dt,p95_e,sim
0.13120369023116277,0.24890751256102409,0.5,genroads,vit,0.7028510432068993,1.584339374999999,udacity
0.24203237801438493,0.09992334651922173,0.625,genroads,vit,1.1100863790042625,0.5767156249999985,udacity
0.13550240969593164,0.20498373067964493,0.625,genroads,vit,0.6978558627374285,1.54594875,udacity
0.14238855570541403,0.18821860448486696,0.625,genroads,vit,0.7332400093020776,1.1472212499999999,udacity
0.1615433364903002,0.29545775331726143,0.625,genroads,vit,0.7886803399952491,1.7542156249999996,udacity
0.13209694281992496,0.20467859131423263,0.625,genroads,vit,0.6931431182051677,1.4469824999999996,udacity
0.2869694460293371,0.4150083800290846,0.5,genroads,vit,0.8783758757961939,1.6737843749999999,udacity
0.2079912392663813,0.3554265891467188,0.5,genroads,vit,0.833962107368492,1.5043962499999997,udacity
0.1925346860849098,0.30886939565771176,0.5,genroads,vit,0.8552172520079655,1.5818006249999996,udacity
0.16208676708126576,0.34160012315109256,0.25,genroads,vit,0.814488692808186,1.8005449999999996,udacity
0.15279653401494764,0.2471616317813476,0.25,genroads,vit,0.8112440993391317,1.5218356249999996,udacity
0.13297023396008878,0.19719559075715312,0.375,genroads,vit,0.6798979483851169,1.261890624999999,udacity
0.12317854207842385,0.21459090272685954,0.625,genroads,vit,0.6497047434386383,1.4484181249999988,udacity
0.11242049859131344,0.17729142252273927,0.625,genroads,vit,0.6281083142096369,1.3352281249999998,udacity
0.12031473891659697,0.22021717456860698,0.5,genroads,vit,0.6719185974683705,1.5074156249999997,udacity
0.10529866181598543,0.16710210256202374,0.625,genroads,vit,0.5416133539166792,1.0047362499999988,udacity
0.147272042992737,0.2625624498818331,0.5,genroads,vit,0.75482521146226,1.6597337499999991,udacity
0.14132350400615926,0.2984988333236263,0.375,genroads,vit,0.7409089494769108,1.8474662499999999,udacity
0.12455415661271634,0.2313032983289449,0.375,genroads,vit,0.6655536760822078,1.6845218749999993,udacity
0.10537065637440221,0.1637642807834336,0.5,genroads,vit,0.6047410956564737,1.137611249999999,udacity
0.10391622279058868,0.17587415235050666,0.5,genroads,vit,0.5661496043442833,1.1270731249999981,udacity
0.11989611615955378,0.20944612375549693,0.375,genroads,vit,0.6694846329109212,1.2467531249999997,udacity
0.11930864666352264,0.15092055911488805,0.75,genroads,vit,0.6292563991117788,0.9878475000000002,udacity
0.13107547284524163,0.1519603628152113,0.75,genroads,vit,0.7725354201082877,1.207113749999999,udacity
0.17804554564016956,0.2605219236932417,0.625,genroads,vit,0.7222946139544082,1.5321468749999996,udacity
0.14851535362006482,0.237948471464895,0.5,genroads,vit,0.7017803503449784,1.439074374999999,udacity
0.14145947757071775,0.2366729014302797,0.625,genroads,vit,0.711513203891621,1.6559062499999997,udacity
0.10125906031781015,0.15952882025094658,0.625,genroads,vit,0.5810039744093789,0.9078299999999991,udacity
0.13109133270103396,0.2294761338179599,0.625,genroads,vit,0.6812198784421344,1.3967956250000002,udacity
0.12382079343514335,0.1908042046049138,0.625,genroads,vit,0.670034406990942,1.2946556249999996,udacity
0.23052603327060342,0.35822674127291454,0.5,genroads,vit,0.7940575367662683,1.6695718749999984,udacity
0.19401236868350882,0.38650560960262237,0.375,genroads,vit,0.8053310081992189,1.8913481249999988,udacity
0.1499900313913699,0.25063136313080125,0.5,genroads,vit,0.7018921306133008,1.4775812499999996,udacity
0.11706278303025627,0.19141161467333628,0.625,genroads,vit,0.5964676988015307,1.0153118749999988,udacity
0.15267372509096216,0.27244667333546246,0.5,genroads,vit,0.8661778084347685,1.819699374999999,udacity
0.12996690504277592,0.21296693963811408,0.75,genroads,vit,0.6858869436155492,1.4785318749999994,udacity
0.29006567578984815,0.4182703075749705,0.625,genroads,vit,0.8601289190072492,1.937725625,udacity
0.18351041767222606,0.3252227703317505,0.625,genroads,vit,0.7789006274143251,1.8579612499999993,udacity
0.2354059694111917,0.5040885021998412,0.5,genroads,vit,0.9077074352502587,2.436556875,udacity
0.12999749822272172,0.22173283105784375,0.5,genroads,vit,0.7351495941251931,1.3830712499999989,udacity
0.1422296442055772,0.22207423145603505,0.5,genroads,vit,0.8763716170813287,1.6984762499999975,udacity
0.14418784387789224,0.2614271927333002,0.25,genroads,vit,0.866839849779773,1.7365356249999984,udacity
0.14325345142653254,0.2549568178285048,0.375,genroads,vit,0.7199673265856243,1.6850749999999983,udacity
0.11833495160594223,0.21101294245720026,0.5,genroads,vit,0.6407420349662021,1.4926312499999992,udacity
