baseline_primary,map,model,n_points,perturbation,robust_auc,robust_ce,sim,test_type
0.0,genroads,dave2_gru,1,baseline,nan,nan,udacity,robustness
0.0,genroads,dave2_gru,2,canny_edges_mapping,1.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,contrast,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,cutout_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,defocus_blur,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dotted_lines_mapping,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_lightning_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_object_overlay,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_rain_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_smoke_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_snow_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,dynamic_sun_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,elastic,1.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,fog_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,frost_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,gaussian_blur,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,gaussian_noise,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,grayscale_filter,1.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,histogram_equalisation,2.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,impulse_noise,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,increase_brightness,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,jpeg_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,low_pass_filter,1.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,motion_blur,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,phase_scrambling,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,pixelate,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,poisson_noise,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,posterize_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,sample_pairing_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,saturation_decrease_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,saturation_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,scale_image,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,speckle_noise_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,splatter_mapping,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,static_object_overlay,1.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,translate_image,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,white_balance_filter,0.0,nan,udacity,robustness
0.0,genroads,dave2_gru,2,zigzag_mapping,0.0,nan,udacity,robustness
