baseline_primary,map,model,n_points,perturbation,robust_auc,robust_ce,sim,test_type
1.0,genroads,vit,1,baseline,nan,0.0,udacity,robustness
1.0,genroads,vit,2,canny_edges_mapping,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,contrast,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,cutout_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,defocus_blur,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,dotted_lines_mapping,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,dynamic_lightning_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,dynamic_object_overlay,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,dynamic_rain_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,dynamic_smoke_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,dynamic_snow_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,dynamic_sun_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,elastic,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,fog_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,frost_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,gaussian_blur,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,gaussian_noise,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,grayscale_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,histogram_equalisation,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,impulse_noise,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,increase_brightness,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,jpeg_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,low_pass_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,motion_blur,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,phase_scrambling,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,pixelate,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,poisson_noise,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,posterize_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,sample_pairing_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,saturation_decrease_filter,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,saturation_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,scale_image,0.0,1.0,udacity,robustness
1.0,genroads,vit,2,speckle_noise_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,splatter_mapping,1.0,0.5,udacity,robustness
1.0,genroads,vit,2,static_object_overlay,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,translate_image,0.0,1.0,udacity,robustness
1.0,genroads,vit,2,white_balance_filter,2.0,0.0,udacity,robustness
1.0,genroads,vit,2,zigzag_mapping,2.0,0.0,udacity,robustness
