epoch,step,train/loss,train/rmse,val/loss,val/rmse
0,14,,,0.08538677543401718,0.27736806869506836
1,29,,,0.07781509310007095,0.26354116201400757
2,44,,,0.06887076050043106,0.24672767519950867
3,49,0.09832896292209625,0.31357449293136597,,
3,59,,,0.06405837833881378,0.2360723465681076
4,74,,,0.061029888689517975,0.23175379633903503
5,89,,,0.057007089257240295,0.2207408845424652
6,99,0.0686643198132515,0.2620387673377991,,
6,104,,,0.045698557049036026,0.20658926665782928
7,119,,,0.05501879006624222,0.2272959053516388
8,134,,,0.04674169793725014,0.20820041000843048
9,149,0.045413099229335785,0.2131034880876541,,
9,149,,,0.0454474613070488,0.2068670392036438
10,164,,,0.04346688091754913,0.19999022781848907
11,179,,,0.04276597872376442,0.20122462511062622
12,194,,,0.04073909670114517,0.19463662803173065
13,199,0.03887544572353363,0.19716857373714447,,
13,209,,,0.03833248093724251,0.18842348456382751
14,224,,,0.03811505809426308,0.1858622431755066
15,239,,,0.03898801654577255,0.19016970694065094
16,249,0.037241894751787186,0.19298158586025238,,
16,254,,,0.038329143077135086,0.18867740035057068
17,269,,,0.038490861654281616,0.18691326677799225
18,284,,,0.03403804451227188,0.17656713724136353
19,299,0.0373753160238266,0.19332696497440338,,
19,299,,,0.03438607230782509,0.17773717641830444
20,314,,,0.037096910178661346,0.184604212641716
21,329,,,0.044315118342638016,0.20511168241500854
22,344,,,0.034056901931762695,0.1770293265581131
23,349,0.04571066051721573,0.21380051970481873,,
23,359,,,0.04652540385723114,0.20799517631530762
24,374,,,0.039051029831171036,0.19171468913555145
25,389,,,0.03508330136537552,0.18045777082443237
26,399,0.03454253822565079,0.18585622310638428,,
26,404,,,0.03191549330949783,0.1702326089143753
27,419,,,0.047671347856521606,0.2116842269897461
28,434,,,0.037858180701732635,0.1891787350177765
29,449,0.03025159239768982,0.1739298552274704,,
29,449,,,0.0316857248544693,0.17030549049377441
30,464,,,0.03508008271455765,0.17889171838760376
31,479,,,0.03796101361513138,0.18512588739395142
32,494,,,0.0352453850209713,0.180763378739357
33,499,0.028081517666578293,0.167575404047966,,
33,509,,,0.03572284057736397,0.18316353857517242
34,524,,,0.03484431654214859,0.17490848898887634
35,539,,,0.033199287950992584,0.17483553290367126
36,549,0.03220590576529503,0.17946003377437592,,
36,554,,,0.030491244047880173,0.16584505140781403
37,569,,,0.038539741188287735,0.1906130611896515
38,584,,,0.03519897162914276,0.17788292467594147
39,599,0.027366865426301956,0.16542933881282806,,
39,599,,,0.03238135203719139,0.1709587275981903
40,614,,,0.033799584954977036,0.17801101505756378
41,629,,,0.0391809418797493,0.18915781378746033
42,644,,,0.03471330925822258,0.1786147803068161
43,649,0.03462521731853485,0.1860785186290741,,
43,659,,,0.03980798274278641,0.1918521374464035
44,674,,,0.03504623845219612,0.177848219871521
45,689,,,0.029235418885946274,0.16308943927288055
46,699,0.027464432641863823,0.16572396457195282,,
46,704,,,0.0346011184155941,0.1760064661502838
47,719,,,0.037080757319927216,0.1894216239452362
48,734,,,0.062670037150383,0.2416049689054489
49,749,0.027327455580234528,0.16531017422676086,,
49,749,,,0.037066083401441574,0.18577803671360016
50,764,,,0.036638110876083374,0.1837642937898636
51,779,,,0.03346185386180878,0.1726466566324234
52,794,,,0.035768039524555206,0.18046480417251587
53,799,0.031484417617321014,0.17743848264217377,,
53,809,,,0.0344824455678463,0.17629846930503845
54,824,,,0.03791222348809242,0.18660618364810944
55,839,,,0.03171828016638756,0.1677742302417755
56,849,0.029941566288471222,0.17303632199764252,,
56,854,,,0.035186149179935455,0.17761684954166412
57,869,,,0.036674391478300095,0.18227387964725494
58,884,,,0.035880327224731445,0.18040630221366882
59,899,0.03397739678621292,0.1843295842409134,,
59,899,,,0.034149978309869766,0.17851907014846802
60,914,,,0.03694910556077957,0.1864522397518158
61,929,,,0.034219831228256226,0.1762075275182724
62,944,,,0.03249198570847511,0.17151205241680145
63,949,0.024075061082839966,0.15516141057014465,,
63,959,,,0.037022411823272705,0.1842050552368164
64,974,,,0.03770044818520546,0.18684476613998413
